"","agency_name","position_title","attorney","employer","start_date","end_date","title","notes"
"13826","Commerce","Deputy Director, Minority Business Development Agency","Chris Garcia","Nanula Family Office",2017,2018,"Consultant",NA
"13827","Commerce","Deputy Director, Minority Business Development Agency","Chris Garcia","Chris Garcia & Associates LLC",2017,2018,"Managing Principal",NA
"13828","Commerce","Program Manager, Office of Faith Based and Neighborhood Partnerships","John Pughe","Donald J. Trump for President, Inc.",2017,2018,"",NA
"13829","Commerce","Program Manager, Office of Faith Based and Neighborhood Partnerships","John Pughe","Northern Palm Beach County Chamber of Commerce",2017,2018,"",NA
"13830","Commerce","Program Manager, Office of Faith Based and Neighborhood Partnerships","John Pughe","Donald J. Trump for President, Inc.",2017,2018,"Deputy State Political Director & South Florida Strategist",NA
"13831","Commerce","Program Manager, Office of Faith Based and Neighborhood Partnerships","John Pughe","Northern Palm Beach County Chamber of Commerce",2017,2018,"Director for Community Affairs",NA
"13832","Commerce","Program Manager, Office of Faith Based and Neighborhood Partnerships","John Pughe","Hobby Lobby       See Endnote",2017,2018,"Cashier",NA
"13833","Energy","General Counsel","Theodore J. Garrish","Power Plant Research Program, MD Department of Natural Resources",2017,NA,"Director",NA
"13834","Energy","General Counsel","Theodore J. Garrish","Maryland Energy Administration",2017,NA,"Energy & Regulatory Advisor",NA
"13835","Energy","General Counsel","Theodore J. Garrish","DBA AEC (Annapolis Energy Consultings) Goose Intl LLC",2017,NA,"Consulting fees earned for specific work performed",NA
"13836","Energy","General Counsel","Theodore J. Garrish","HKA LLC See Endnote",2017,NA,"Consultant",NA
"13837","Energy","General Counsel","Theodore J. Garrish","DBA Annapolis Energy Consulting AEC for Goose Intl",2017,NA,"Owner, Member",NA
"13838","Energy","General Counsel","Theodore J. Garrish","Wolverine Nuclear Services, LLC",2017,NA,"Minority Member",NA
"13839","Energy","General Counsel","Theodore J. Garrish","Advanced Reactor Concepts",2017,NA,"Bd Member, VP, and Counsel",NA
"13840","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Battelle Memorial Institute",2017,NA,"Responsible for business development in the Energy Business Unit",NA
"13841","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Pennsylvania Coal Alliance",2017,NA,"Provided services through Battelle Memorial Institute",NA
"13842","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Battelle Memorial Institute",2017,NA,"Senior Program Manager",NA
"13843","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Three Rivers Rowing Association (uncompensated)",2017,NA,"Board Member",NA
"13844","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Pennsylvania Department of Environmental Protection, Climate Change Advisory Committee (uncompensated)",2017,NA,"Appointed Member",NA
"13845","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","Marcellus Shale Coalition (uncompensated)",2017,NA,"Member",NA
"13846","Energy","Senior Advisor, Office of the Secretary","Steven E. Winberg","National Coal Council (uncompensated)",2017,NA,"Representative",NA
"13847","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Law Offices of Dennis Dean Kirk, Esq.",2018,NA,"Legal services as a solo practitioner",NA
"13848","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Schmitz & Socarras, LLP",2018,NA,"Legal services as a contract attorney",NA
"13849","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Robert Stephenson",2018,NA,"Legal services",NA
"13850","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Law Offices of Dennis Dean Kirk, Esq.",2018,NA,"Owner",NA
"13851","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Schmitz & Socarras, LLP",2018,NA,"Self Employed Contract Law Partner",NA
"13852","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Kirk Trust (revocable)",2018,NA,"Trustee",NA
"13853","Personnel Management","Senior Advisor to the Chief Information Officer","Dennis D. Kirk","Consumer Protection Commission",2018,NA,"Commissioner",NA
"13854","Occupational Safety and Health Review Commission","Commission Member","Cynthia L. Attwood","",NA,NA,"",NA
"13855","Occupational Safety and Health Review Commission","Confidential Assistant to the Chairman","Sienna M. Goering","Makingluck Inc.",2017,NA,"",NA
"13856","Occupational Safety and Health Review Commission","Confidential Assistant to the Chairman","Sienna M. Goering","Juliet Ristorante",2017,NA,"Host",NA
"13857","Occupational Safety and Health Review Commission","Confidential Assistant to the Chairman","Sienna M. Goering","Starbucks",2017,NA,"Barista",NA
"13858","Occupational Safety and Health Review Commission","Confidential Assistant to the Chairman","Sienna M. Goering","Boone Hall Plantation",2017,NA,"Guide",NA
"13859","Occupational Safety and Health Review Commission","Confidential Assistant to the Chairman","Sienna M. Goering","Makingluck Inc.",2017,NA,"Editor",NA
"13860","Federal Housing Finance Agency","Director of the Federal Housing Finance Agency","Melvin Watt","",NA,NA,"",NA
"13861","White House Office","Executive Assistant","McLaurine E. Klingler","",NA,NA,"",NA
"13862","Environmental Protection Agency","Assistant Deputy Administrator","Henry Darwin","",2017,NA,"",NA
"13863","European Bank for Reconstruction and Development","United States Director","Judy Lynn Shelton","Atlas Network (uncompensated)",NA,NA,"Senior fellow",NA
"13864","European Bank for Reconstruction and Development","United States Director","Judy Lynn Shelton","Atlas Network (uncompensated)",NA,NA,"Co-director of the Sound Money Project",NA
"13865","European Bank for Reconstruction and Development","United States Director","Judy Lynn Shelton","National Endowment for Democracy (uncompensated)",NA,NA,"Director",NA
"13866","European Bank for Reconstruction and Development","United States Director","Judy Lynn Shelton","Trump for America, Inc.",NA,NA,"Advisor on International Affairs at Treasury",NA
"13867","European Bank for Reconstruction and Development","United States Director","Judy Lynn Shelton","Judy Shelton Living Trust",NA,NA,"Trustee",NA
"13868","Education","Special Assistant to the Secretary","Patrick John Young","",2017,NA,"",NA
"13869","Defense","Special Assistant","Derek J. Maurer","LRH Group, Inc",2017,NA,"Officer",NA
"13870","Environmental Protection Agency","Deputy Associate Administrator for Congressional Relations","Christian Palich","Ohio Coal Association",2017,2019,"President of state-wide trade association",NA
"13871","Environmental Protection Agency","Deputy Associate Administrator for Congressional Relations","Christian Palich","Ohio Coal Association",2017,2019,"President",NA
"13872","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","Downs Rachlin Martin PLLC",NA,NA,"Legal Services",NA
"13873","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","Brattleboro Memorial Hospital",NA,NA,"Legal Services",NA
"13874","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","Dominion Nuclear Connecticut",NA,NA,"Legal Services",NA
"13875","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","National Elevator Bargaining Association",NA,NA,"Legal Services",NA
"13876","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","Sutton Place Condominium Association",NA,NA,"Board member/Vice- President",NA
"13877","National Labor Relations Board","Chief Counsel to Board Member","Peter B. Robb","Downs Rachlin Martin PLLC",NA,NA,"Director/Deputy Managing Partner",NA
"13878","Interior","Special Assistant, Secretary's Immediate Office","Nicholas Erick Davis","",2018,NA,"",NA
"13879","Transportation","Deputy Assistant Secretary for Aviation and International Affairs","David E. Short","Federal Express Corporation",2018,NA,"Employed until July 2018 as Senior Counsel, Legal, Trade & International Affairs.",NA
"13880","Transportation","Deputy Assistant Secretary for Aviation and International Affairs","David E. Short","Federal Express Corporation",2018,NA,"Senior Counsel, Legal, Trade & International Affairs",NA
"13881","Interior","Special Assistant to the Secretary","James E. Cason","",2017,NA,"",NA
"13882","Interior","Special Assistant to the Secretary","Landon Douglas Tucker Davis","",2017,2018,"",NA
"13883","Environmental Protection Agency","Senior Advisor","David W. Kreutzer","The Heritage Foundation",2017,2017,"Research fellow",NA
"13884","Environmental Protection Agency","Senior Advisor","David W. Kreutzer","The Heritage Foundation",2017,2017,"Senior Research Fellow in Energy Economics and Climate Change",NA
"13885","White House Office","Special Assistant to the President and Senior Counsel","James William Carroll III","",2017,NA,"",NA
"13886","White House Office","Special Assistant to the President","Kelly Riddell Sadler","The Washington Times",2017,2018,"Manages and communicates with all surrogates outside of the White House, those who appear on cable television and/or are thought leaders at respected think-tanks and advocacy groups. Provides talking points, arranges coalition meetings, and drives the White House message to these surrogates on a daily basis.",NA
"13887","White House Office","Special Assistant to the President","Kelly Riddell Sadler","The Washington Times",2017,2018,"Deputy Opinion Editor",NA
"13888","White House Office","Deputy Associate Counsel to the President","Melissa A. Croslow","",NA,NA,"",NA
"13889","White House Office","Special Assistant to the President for Economic Policy","Theodore W. Merkel","",NA,NA,"",NA
"13890","White House Office","Special Assistant to the President and Deputy Director of Political Affairs for Outreach","Alexander R. Willette","",NA,NA,"",NA
"13891","White House Office","Special Assistant to the President for Economic Policy","Brian C. Blasé","Mercatus Center at George Mason University",2017,NA,"Sr. Research Fellow",NA
"13892","Energy","Assistant to the Secretary, Office of the Secretary","Roger A. Jarrell","Donald J. Trump for President, Inc.",2017,2018,"Consultant",NA
"13893","Energy","Assistant to the Secretary, Office of the Secretary","Roger A. Jarrell","Micha Browning",2017,2018,"Attorney",NA
"13894","Energy","Assistant to the Secretary, Office of the Secretary","Roger A. Jarrell","Dennis & Angela Patterson",2017,2018,"Attorney",NA
"13895","Energy","Assistant to the Secretary, Office of the Secretary","Roger A. Jarrell","Michael Martin",2017,2018,"Attorney",NA
"13896","Energy","Assistant to the Secretary, Office of the Secretary","Roger A. Jarrell","Roger A. Jarrell II, Attorney at Law",2017,2018,"Attorney",NA
"13897","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","JANAPARTNERS",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13898","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Kirkland&Ellis,LLP",2018,NA,"Partner, Lawfirm, Attorney Servieces",NA
"13899","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","McDermo tt,Will&Emery,LLP",2018,NA,"Partner, Lawfirm, Attorney Servieces",NA
"13900","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","GeorgeMason University SchoolofLaw",2018,NA,"Adjunt Professor at a public university/ law school of the state of Virginia",NA
"13901","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","BainCapitalPrivate Equity",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13902","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","ABRY Partners II,LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13903","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","HessCorporation",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13904","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","ValueAct Capital",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13905","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Intel Corporation",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13906","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","PershingSquareCapitalManagement",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13907","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","LMG2,LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13908","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","PiedmontNatural Gas",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13909","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Questar Corporation",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13910","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","VitaminShoppe Industries,Inc.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13911","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","AvisBudgetGroup,Inc.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13912","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","MasonCapital Management,LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13913","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","DeltaAirLines",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13914","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Soroban Capital Partners,L.P.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13915","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","ThirdPointLLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13916","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","SachemHeadCapitalManagement",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13917","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","HBK CapitalManagement",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13918","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","MTSHealthInvestors,LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13919","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Fifty Fifty Capita l LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13920","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","IBM Corporation",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13921","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","TaxSlayer, LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13922","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Trian Fund Management, LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13923","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","TIG Advisors",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13924","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","INEOS Styrolution Group GmBH",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13925","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Elliott Management",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13926","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Hitchwood Capital Management, LP",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13927","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Worthington Industries, Inc.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13928","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Premier, Inc.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13929","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","AngioDynamics, Inc.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13930","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Data Software Services, LLC",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13931","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Davidson Kempner Capital Management",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13932","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","D.E. Shaw & Co.",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13933","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Hudson Executive Capital",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13934","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Jet Capital Management",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13935","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","The Renea Group / lnteva",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13936","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Steadfast Financial",2018,NA,"Attorney Services, in conjunction with law firm practice.",NA
"13937","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Cadwalader, Wickersham & Taft",2018,NA,"Counsel, Law Firm, Attorney Services",NA
"13938","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Kirkland &Ellis, LLP",2018,NA,"Partner",NA
"13939","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","McDermott, Will & Emery, LLP",2018,NA,"Partner",NA
"13940","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","Cadwalader, Wicker sham & Taft, LLP",2018,NA,"counsel",NA
"13941","Federal Trade Commission","Director, Office of Policy Planning, Office of the Chairman","Bilal Konen Sayyed","George Mason University",2018,NA,"Adjunct Professor",NA
"13942","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Compass Lexecon (subsidiary of FTI Consulting)",2018,NA,"Consulting Services",NA
"13943","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Johns Hopkins University",2018,NA,"Adjunt Professor",NA
"13944","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Nutrien Ltd.",2018,NA,"Consulting Services",NA
"13945","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Comcast Corporation",2018,NA,"Consulting Services",NA
"13946","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Israel Chemicals Ltd.",2018,NA,"Consulting Services",NA
"13947","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Tenor Capital Management",2018,NA,"Consulting Services",NA
"13948","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","National Collegiate Athletic Association",2018,NA,"Consulting Services",NA
"13949","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Pac-12 Conference",2018,NA,"Consulting Services",NA
"13950","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","The Big Ten Conference, Inc.",2018,NA,"Consulting Services",NA
"13951","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","The Big 12 Conerence, Inc.",2018,NA,"Consulting Services",NA
"13952","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Southeastern Conference",2018,NA,"Consulting Services",NA
"13953","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Atlantic Coast Conference",2018,NA,"Consulting Services",NA
"13954","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","American Athletic Conference, f/k/a The Big East Conference",2018,NA,"Consulting Services",NA
"13955","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Conference USA",2018,NA,"Consulting Services",NA
"13956","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Mid-American Conference",2018,NA,"Consulting Services",NA
"13957","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Mountain West Conference",2018,NA,"Consulting Services",NA
"13958","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Sun Belt Conference",2018,NA,"Consulting Services",NA
"13959","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Western Athletic Conference",2018,NA,"Consulting Services",NA
"13960","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","United Parcel Service Inc.",2018,NA,"Consulting Services",NA
"13961","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","JPMorgan Chase & Co.",2018,NA,"Consulting Services",NA
"13962","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","GoITV, Inc.",2018,NA,"Consulting Services",NA
"13963","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","OSF Healthcare System",2018,NA,"Consulting Services",NA
"13964","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Charter Communications, Inc.",2018,NA,"Consulting Services",NA
"13965","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Compass Lexecon (subsidiary of FTI Consulting)",2018,NA,"Executive Vice President",NA
"13966","Federal Trade Commission","Economist, Office of the Chairman","Jay Ezrielev","Johns Hopkins University",2018,NA,"Adjunct Professor",NA
"13967","Federal Trade Commission","Chairman","Joseph J. Simons","Paul, Weiss, Rifkind, Wharton & Garrison LLP",2018,NA,"Provide legal services to clients of the  partnership.",NA
"13968","Federal Trade Commission","Chairman","Joseph J. Simons","Office of Major League Baseball",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13969","Federal Trade Commission","Chairman","Joseph J. Simons","Mastercard Incorporated",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13970","Federal Trade Commission","Chairman","Joseph J. Simons","News Corp",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13971","Federal Trade Commission","Chairman","Joseph J. Simons","Sharp Corporation",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13972","Federal Trade Commission","Chairman","Joseph J. Simons","Agrium Inc.",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13973","Federal Trade Commission","Chairman","Joseph J. Simons","Intelsat S.A.",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13974","Federal Trade Commission","Chairman","Joseph J. Simons","Resolute Forest Products Inc.",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13975","Federal Trade Commission","Chairman","Joseph J. Simons","Cigna Corporation",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13976","Federal Trade Commission","Chairman","Joseph J. Simons","Renal Ventures Management LLC",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13977","Federal Trade Commission","Chairman","Joseph J. Simons","KBC Advanced Technologies plc",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13978","Federal Trade Commission","Chairman","Joseph J. Simons","Hearst Communications Inc.",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13979","Federal Trade Commission","Chairman","Joseph J. Simons","Noranda Aluminum Holding Corporation",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13980","Federal Trade Commission","Chairman","Joseph J. Simons","Genentech, Inc.",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13981","Federal Trade Commission","Chairman","Joseph J. Simons","Huntsman Corporation",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13982","Federal Trade Commission","Chairman","Joseph J. Simons","Workshare Company",2018,NA,"legal services (client of Paul, Weiss, Rifkind, Wharton & Garrison LLP)",NA
"13983","Federal Trade Commission","Chairman","Joseph J. Simons","Paul, Weiss, Rifkind, Wharton & Garrison LLP",2018,NA,"Partner",NA
"13984","General Services Administration","Special Assistant, Office of Congressional and Intergovernmental Affairs","Jessica Lynn Jennings","Coalition of EPSCoR States (client of Van Scoyoc Associates)",2017,2018,"House and Senate contact on FY16 and FY17 appropriations.",NA
"13985","General Services Administration","Special Assistant, Office of Congressional and Intergovernmental Affairs","Jessica Lynn Jennings","Van Scoyoc Associates",2017,2018,"Legislative Assistant",NA
"13986","General Services Administration","Special Assistant, Office of Congressional and Intergovernmental Affairs","Jessica Lynn Jennings","Austal USA (client of Van Scoyoc Associates)",2017,2018,"House and Senate contact on FY16 and FY17 appropriations.",NA
"13987","Defense","Special Assistant","Dana White","1055 Grady LLC",2017,2018,"CEO of communications consulting firm.",NA
"13988","Defense","Special Assistant","Dana White","Nissan North America, Inc.",2017,2018,"Communications",NA
"13989","Defense","Special Assistant","Dana White","PGA Tour",2017,2018,"Public affairs consulting.",NA
"13990","Defense","Special Assistant","Dana White","Porticus",2017,2018,"Public affairs consulting for Netherlands b ased family foundation.",NA
"13991","Defense","Special Assistant","Dana White","1055 Grady LLC (Communications Consulting)",2017,2018,"CEO",NA
"13992","Defense","Special Assistant","Dana White","Nissan North America, Inc.",2017,2018,"Employee",NA
"13993","Environmental Protection Agency","Associate Administrator for Public Affairs","John Peter Freire","",2017,2017,"",NA
"13994","Commerce","Director of Communications","Julie Roberts","58th Presidential Inaugural Committee",2017,NA,"",NA
"13995","Commerce","Director of Communications","Julie Roberts","Donald J. Trump for President, Inc.",2017,NA,"",NA
"13996","Commerce","Director of Communications","Julie Roberts","58th Presidential Inaugural Committee",2017,NA,"Deputy Director of Internal and Diplomatic",NA
"13997","Commerce","Director of Communications","Julie Roberts","Donald J. Trump for President, Inc.",2017,NA,"Advance for Vice Presidential Candidate",NA
"13998","Commerce","Confidential Assistant, Economic Development Administration","Justin Arlett","Connected Investors",2017,2018,"",NA
"13999","Commerce","Confidential Assistant, Economic Development Administration","Justin Arlett","Arlett Financial Inc",2017,2018,"",NA
"14000","Commerce","Confidential Assistant, Economic Development Administration","Justin Arlett","Connected Investors",2017,2018,"CMO",NA
"14001","Commerce","Confidential Assistant, Economic Development Administration","Justin Arlett","Arlett Financial Inc",2017,2018,"CEO",NA
"14002","Commodity Futures Trading Commission","Director of Legislative Affairs","N. Charles Thornton","Jochum, Shore & Trossevin",2017,NA,"Communications specialist",NA
"14003","Commodity Futures Trading Commission","Director of Legislative Affairs","N. Charles Thornton","Franklin Square Capital Partners",2017,NA,"Public affairs specialist",NA
"14004","Management and Budget","Deputy to the Associate Director for Legislative Affairs","Ryan Canfield","",2017,2019,"",NA
"14005","Treasury","Deputy Assistant Secretary for Legislative Affairs (Tax and Budget)","Kimberly Jane Pinter","",2019,NA,"",NA
"14006","Management and Budget","General Counsel","James William Carroll III","",2017,NA,"",NA
"14007","Homeland Security","Associate Administrator for Resilience, Federal Emergency Management Agency","Carlos Jesus Castillo","",2018,NA,"",NA
"14008","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","M.Ricardel LLC",2017,2017,"International and Defense Consulting",NA
"14009","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","Boeing Company",2017,2017,"Vice President",NA
"14010","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","Trump for America, Inc.",2017,2017,"Consultant--Client of M. Ricardel LLC",NA
"14011","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","Federal Budget IQ",2017,2017,"Consultant--Client of M. Ricardel LLC",NA
"14012","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","Boeing Company",2017,2017,"Vice President, International Business Development",NA
"14013","White House Office","Associate Director for Presidential Personnel","Mira Radielovic Ricardel","M.Ricardel LLC",2017,2017,"Owner/ Consultant",NA
"14014","Export-Import Bank","President and Chairman","Scott Garrett","",NA,NA,"",NA
"14015","Environmental Protection Agency","Special Assistant, Office of the Administrator","Derrick A. Bolen","",2017,NA,"",NA
"14016","Environmental Protection Agency","Senior White House Advisor","Donald M. Benton","",2017,2017,"",NA
